route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
87-247,NOV25-TroyRMB-Weekday-12,13017734-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017735-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017736-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017737-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017738-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017739-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017740-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017741-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017742-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017743-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017744-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017745-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017746-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017747-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017748-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017749-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017750-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017751-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017752-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017753-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017754-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017755-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017756-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017757-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017758-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017759-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017760-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017761-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017762-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017763-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017764-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017765-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017766-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017767-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017768-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017769-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017770-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017771-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017772-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017773-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017774-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017775-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017776-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
